No,Date,Month,Who,Description,Income,Expense,Balance,Categories,Under_Categories,2nd_Under_Categories,Voucher No,Remark
201,18-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"154,000","-154,000",EXPENSE,Food,,V-106,
202,18-Oct-25,10,Tr.Mine,Buying ingredints of cooking,,"395,000","-395,000",EXPENSE,Food,,V-107,
203,18-Oct-25,10,Tr.Mine,Buying beef,,"50,000","-50,000",EXPENSE,Food,,V-108,
204,21-Oct-25,10,Tr.Mine,Buying beef ,,"100,000","-100,000",EXPENSE,Food,,V-109,
205,23-Oct-25,10,Tr.Mine,Buying beef and pork,,"165,000","-165,000",EXPENSE,Food,,V-110,
206,23-Oct-25,10,Tr.Mine,Buying pork for participants of YLFC,,"45,000","-45,000",EXPENSE,Food,,V-122,
207,25-Oct-25,10,Tr.Mine,Buying Beef for participants of YLFC,,"60,000","-60,000",EXPENSE,Food,,V-113,
208,25-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"131,000","-131,000",EXPENSE,Food,,V-114,
209,25-Oct-25,10,Tr.Mine,Buying vegetables for participants of YLFC,,"138,500","-138,500",EXPENSE,Food,,V-115,
210,25-Oct-25,10,Tr.Mine,Buying ingredients of cooking and vegetables,,"192,000","-192,000",EXPENSE,Food,,V-116,
211,25-Oct-25,10,Tr.Mine,Buying ingredients for cooking and vegetables,,"375,500","-375,500",EXPENSE,Food,,V-117,
212,25-Oct-25,10,Tr.Mine,Fuel for YLFC,,"20,000","-20,000",EXPENSE,Ex Other,,V-118,
213,25-Oct-25,10,Tr.Mine,Buying solar light and vegetables,,"65,000","-65,000",EXPENSE,Food,,V-119,
214,28-Oct-25,10,Tr.Mine,Buying Beef for participants of YLFC,,"140,000","-140,000",EXPENSE,Food,,V-120,
215,28-Oct-25,10,Lwin Ko Oo,School fees for October,"1,400,000",,"1,400,000",INCOME,Student Contribution,,,
216,28-Oct-25,10,Lwin Ko Oo,Income from Bank,"6,200,000",,"6,200,000",INCOME,Project,,,
217,30-Oct-25,10,Tr.Mine,Buying Beef and chili,,"155,000","-155,000",EXPENSE,Food,,V-121,
218,30-Oct-25,10,Tr.Gracy,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
219,1-Nov-25,11,Lwin Ko Oo,Teachers' stipend for YLFC (October),,"2,800,000","-2,800,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-4,
220,1-Nov-25,11,Tr.Mine,Buying beef for participants of YLFC,,"56,000","-56,000",EXPENSE,Food,,V-123,
221,1-Nov-25,11,Tr.Mine,Buying ingredients of cooking and vegetables,,"235,000","-235,000",EXPENSE,Food,,V-124,
222,1-Nov-25,11,Tr.Mine,Buying vegetables for participants of YLFC,,"143,000","-143,000",EXPENSE,Food,,V-125,
223,1-Nov-25,11,Tr.Mine,Buying cooking oil,,"190,000","-190,000",EXPENSE,Food,,V-126,
224,1-Nov-25,11,Tr.Mine,Buying ingredients of cooking for participants of YLFC,,"69,000","-69,000",EXPENSE,Food,,V-127,
225,1-Nov-25,11,Tr.Mine,Buying ingredients of cooking for participants of YLFC,,"255,000","-255,000",EXPENSE,Food,,V-128,
226,4-Nov-25,11,Tr.Mine,Buying Beef for participants of YLFC,,"100,000","-100,000",EXPENSE,Food,,V-129,
227,5-Nov-25,11,Fr.Philip Aung Nge,Income for buying uniforms,"1,660,000",,"1,660,000",INCOME,Project,,,
228,5-Nov-25,11,Fr.Philip Aung Nge,Buying uniforms for YLFC and YLFCC,,"1,660,000","-1,660,000",EXPENSE,TeachingLearningFeclities,Uniform,,From Bank
229,5-Nov-25,11,Tr.Mine,Buying ingredients of cooking and vegetables,,"251,000","-251,000",EXPENSE,Food,,V-130,
230,5-Nov-25,11,Tr.Mine,Buying Chickens for participants of YLFC,,"64,000","-64,000",EXPENSE,Food,,V-131,
231,6-Nov-25,11,Tr.Mine,Buying pork for participants of YLFC,,"120,000","-120,000",EXPENSE,Food,,V-132,
232,8-Nov-25,11,Tr.Mine,Buying vegetables for participants of YLFC,,"140,000","-140,000",EXPENSE,Food,,V-133,
233,8-Nov-25,11,Tr.Mine,"Buying Beef, and pork for participants of YLFC",,"292,000","-292,000",EXPENSE,Food,,V-134,
234,8-Nov-25,11,Tr.Mine,Buying ingredients of cooking for participants of YLFC,,"50,000","-50,000",EXPENSE,Food,,V-135,
235,8-Nov-25,11,Tr.Mine,Buying ingredients of cooking for participants of YLFC,,"105,000","-105,000",EXPENSE,Food,,V-136,
236,8-Nov-25,11,Tr.Mine,Buying vegetables for participants of YLFC,,"175,000","-175,000",EXPENSE,Food,,V-137,
237,8-Nov-25,11,Tr.Mine,Buying materials of cooking,,"20,000","-20,000",EXPENSE,Food,,V-138,
238,8-Nov-25,11,Lwin Ko Oo,Students contribution,"1,500,000",,"1,500,000",INCOME,Student Contribution,,,
239,11-Nov-25,11,Lwin Ko Oo,Honorarium for Sayar U Htay Naing,,"250,000","-250,000",EXPENSE,PersonalCost,Honorarium,,
240,11-Nov-25,11,Lwin Ko Oo,Honorarium for Sr. Christine,,"250,000","-250,000",EXPENSE,PersonalCost,Honorarium,,
241,11-Nov-25,11,Tr.Mine,Buying Beef for participants of YLFC,,"120,000","-120,000",EXPENSE,Food,,V-139,
242,12-Nov-25,11,Ko Doro,Income for buying cooking oil,"1,200,000",,"1,200,000",INCOME,Project,,,
243,12-Nov-25,11,Lwin Ko Oo,Buying cooking oil for three months ,,"1,200,000","-1,200,000",EXPENSE,Food,,,
244,13-Nov-25,11,Tr.Mine,Buying pork for participants of YLFC,,"140,000","-140,000",EXPENSE,Food,,V-140,
245,14-Nov-25,11,Fr.Philip Aung Nge,Buying sport equipment for YLFC,,"830,000","-830,000",EXPENSE,TeachingLearningFeclities,Sport,,
246,24-Nov-25,11,Lwin Ko Oo,School fees for November,"500,000",,"500,000",INCOME,Student Contribution,,,
247,24-Nov-25,11,Lwin Ko Oo,Fuel for buying cooking oil,,"100,000","-100,000",EXPENSE,Ex Other,,V-141,
248,1-Dec-25,12,Lwin Ko Oo,Teachers' stipend for YLFC (November),,"2,900,000","-2,900,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-5,
249,10-Jan-26,1,Lwin Ko Oo,School fees for December and January,"1,310,000",,"1,310,000",INCOME,Student Contribution,,,
250,23-Dec-25,12,Fr.Philip Aung Nge,Buying rice for YLFC,,"4,750,000","-4,750,000",EXPENSE,Food,,,
251,31-Dec-25,12,Lwin Ko Oo,Teachers' stipend for YLFC (December),,"3,000,000","-3,000,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-6,
252,16-Jan-26,1,Lwin Ko Oo,Buying firewoods for YLFC,,"900,000","-900,000",EXPENSE,Office,,,
253,31-Jan-26,1,Lwin Ko Oo,Teachers' stipend for YLFC (January),,"3,000,000","-3,000,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-7,
254,30-Nov-25,11,Tr.Gracy,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
255,31-Dec-25,12,Tr.Gracy,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
256,31-Jan-26,1,Lwin Ko Oo,Food for YLFC,,"1,550,000","-1,550,000",EXPENSE,Food,,,
257,30-Jan-26,1,Lwin Ko Oo,Food for YLFC,,"1,550,000","-1,550,000",EXPENSE,Food,,,
258,7-Feb-26,2,Lwin Ko Oo,Food for YLFC,,"1,550,000","-1,550,000",EXPENSE,Food,,,
259,9-Feb-26,2,Lwin Ko Oo,Teachers' stipend for YLFC (January),,"3,150,000","-3,150,000",EXPENSE,PersonalCost,Teacher stipends,Payment form-7,
260,10-Feb-26,2,Lwin Ko Oo,Pretty Use for YLFC,,"400,000","-400,000",EXPENSE,General Expense,,,
261,15-Feb-26,2,Lwin Ko Oo,Food for YLFC,,"1,550,000","-1,550,000",EXPENSE,Food,,,
262,29-Nov-25,11,Theodoro,Income from Bank,"3,360,000",,"3,360,000",INCOME,Project,,,
263,31-Dec-25,12,Lwin Ko Oo,Income From Bank,"9,500,000 ks",,"9,500,000 ks",INCOME,Project,,Rquest Form - 1,
264,4-Jan-26,1,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
265,10-Jan-26,1,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
266,17-Jan-26,1,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
267,24-Jan-26,1,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
268,31-Jan-26,1,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
269,7-Feb-26,2,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
270,9-Feb-26,2,To YLFC Teachers,Monthly Stipend for YLFC,,"3,150,000 ks","-3,150,000 ks",EXPENSE,PersonalCost,Teacher stipends,,
271,14-Feb-26,2,Tr. Cathorine Mai,Buying cooking oil for YLFC,,"500,000 ks","-500,000 ks",EXPENSE,Food,,,
272,14-Feb-26,2,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
273,19-Feb-26,2,Lwin Ko Oo,Honorarium for Sr. Benedett Day Day,,"200,000 ks","-200,000 ks",EXPENSE,PersonalCost,Honorarium,,
274,21-Feb-26,2,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
275,22-Feb-26,2,Lwin Ko Oo,Honorarium for Sr. Benedett Ri Moe,,"300,000 ks","-300,000 ks",EXPENSE,PersonalCost,Honorarium,,
276,23-Feb-26,2,Lwin Ko Oo,Income From Bank,"6,750,000 ks",,"6,750,000 ks",INCOME,Project,,,
277,26-Feb-26,2,Lwin Ko Oo,Income From Bank,"5,250,000 ks",,"5,250,000 ks",INCOME,Project,,,
278,27-Feb-26,2,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
279,27-Feb-26,2,Lwin Ko Oo,Monthly Stipend for YLFC,,"3,150,000 ks","-3,150,000 ks",EXPENSE,PersonalCost,Teacher stipends,,
